,product_sku,total_submitted_orders,avg_m12_low_price,avg_m12_high_price,total_preds,discount_12m,high_price_12m,active_price_12m,snapshot_date,abs_diff_price,orders_diff
59591,GRB111P885,8,7.9,7.9,0.329451121389866,50.0,7.9,3.95,2023-10-30,3.95,7.670548878610134
51760,GRB112P10118,8,114.9,114.9,7.24788329005241,80.0,114.9,22.98,2023-10-30,91.92,0.7521167099475896
66343,GRB112P10216,0,10.9,10.9,2.03890790045261,60.0,10.9,4.36,2023-10-30,6.54,-2.03890790045261
4601,GRB112P10218,0,15.9,15.9,2.73590563237667,60.0,15.9,6.36,2023-10-30,9.54,-2.73590563237667
63862,GRB112P11027,0,48.9,48.9,9.24985980987549,65.0,48.9,17.115,2023-10-30,31.785,-9.24985980987549
114229,GRB112P11028,0,52.9,52.9,4.77390826493502,65.0,52.9,18.515,2023-10-30,34.385,-4.77390826493502
38008,GRB112P11029,0,48.9,48.9,9.18041294813156,65.0,48.9,17.115,2023-10-30,31.785,-9.18041294813156
87907,GRB112P11157,0,79.9,79.9,5.46426486968994,70.0,79.9,23.97,2023-10-30,55.93000000000001,-5.46426486968994
122315,GRB112P11430,0,48.9,48.9,4.33422537893057,65.0,48.9,17.115,2023-10-30,31.785,-4.33422537893057
34040,GRB112P11433,0,58.9000000000001,58.9000000000001,5.10508200526237,65.0,58.9,20.615,2023-10-30,38.285000000000096,-5.10508200526237
76529,GRB112P11434,0,62.9,62.9,5.27932465076447,65.0,62.9,22.015,2023-10-30,40.885,-5.27932465076447
103085,GRB112P11439,0,89.9,89.9,4.16790487617254,70.0,89.9,26.97,2023-10-30,62.93000000000001,-4.16790487617254
75633,GRB112P11627,0,16.9,16.9,1.90963154286146,55.0,16.9,7.605,2023-10-30,9.294999999999998,-1.90963154286146
35994,GRB112P11716,0,36.9,36.9,3.84203862398863,65.0,36.9,12.915,2023-10-30,23.985,-3.84203862398863
49081,GRB112P11792,0,44.9,44.9,4.16707935929298,65.0,44.9,15.715,2023-10-30,29.185,-4.16707935929298
49470,GRB112P11820,0,48.9,48.9,4.68017005175352,65.0,48.9,17.115,2023-10-30,31.785,-4.68017005175352
19296,GRB112P11823,0,68.8999999999999,68.8999999999999,4.2440690100193,70.0,68.9,20.67,2023-10-30,48.229999999999905,-4.2440690100193
97676,GRB112P11825,0,48.9,48.9,4.02848429977894,65.0,48.9,17.115,2023-10-30,31.785,-4.02848429977894
26018,GRB112P11828,0,79.9,79.9,4.03265129774809,70.0,79.9,23.97,2023-10-30,55.93000000000001,-4.03265129774809
29493,GRB112P11830,0,106.9,106.9,5.01501737535,75.0,106.9,26.725,2023-10-30,80.17500000000001,-5.01501737535
86177,GRB112P11831,0,119.9,119.9,3.53703472018242,80.0,119.9,23.98,2023-10-30,95.92,-3.53703472018242
92129,GRB112P11833,0,84.9000000000001,84.9000000000001,4.24757138639688,70.0,84.9,25.47,2023-10-30,59.430000000000106,-4.24757138639688
36121,GRB112P11890,0,52.9,52.9,9.40470388531685,65.0,52.9,18.515,2023-10-30,34.385,-9.40470388531685
36173,GRB112P11943,0,139.9,139.9,7.93273189663887,75.0,139.9,34.975,2023-10-30,104.92500000000001,-7.93273189663887
45886,GRB112P11964,0,41.9,41.9,6.830098554492,60.0,41.9,16.76,2023-10-30,25.139999999999997,-6.830098554492
129169,GRB112P11965,0,49.9,49.9,3.71514157950878,65.0,49.9,17.465,2023-10-30,32.435,-3.71514157950878
31911,GRB112P11966,0,89.9,89.9,8.57759699225426,70.0,89.9,26.97,2023-10-30,62.93000000000001,-8.57759699225426
62528,GRB112P11967,0,84.9000000000001,84.9000000000001,5.33944649994373,70.0,84.9,25.47,2023-10-30,59.430000000000106,-5.33944649994373
49678,GRB112P11968,0,89.9000000000001,89.9000000000001,5.46791731566191,70.0,89.9,26.97,2023-10-30,62.930000000000106,-5.46791731566191
31644,GRB112P12054,0,99.8999999999999,99.8999999999999,6.91982049494982,70.0,99.9,29.97,2023-10-30,69.92999999999991,-6.91982049494982
24794,GRB112P12072,0,78.9000000000001,78.9000000000001,7.14874694496393,55.0,78.9,35.505,2023-10-30,43.3950000000001,-7.14874694496393
86623,GRB112P12074,0,52.9,52.9,7.47916120290756,55.0,52.9,23.805,2023-10-30,29.095,-7.47916120290756
114123,GRB112P12075,0,104.9,104.9,4.97399951517582,60.0,104.9,41.96,2023-10-30,62.940000000000005,-4.97399951517582
42311,GRB112P12076,0,89.9000000000001,89.9000000000001,3.10065030679107,60.0,89.9,35.96,2023-10-30,53.940000000000104,-3.10065030679107
27756,GRB112P12086,0,58.9000000000001,58.9000000000001,2.51012979447842,60.0,58.9,23.56,2023-10-30,35.3400000000001,-2.51012979447842
2164,GRB112P12087,0,68.9,68.9,7.44718042016029,55.0,68.9,31.005,2023-10-30,37.89500000000001,-7.44718042016029
66087,GRB112P12440,0,109.9,109.9,1.52166311070323,65.0,109.9,38.465,2023-10-30,71.435,-1.52166311070323
129102,GRB112P12441,0,58.9000000000001,58.9000000000001,1.3467918112874,60.0,58.9,23.56,2023-10-30,35.3400000000001,-1.3467918112874
51895,GRB112P12442,0,58.9000000000001,58.9000000000001,1.38494737446308,60.0,58.9,23.56,2023-10-30,35.3400000000001,-1.38494737446308
94929,GRB112P12755,0,144.9,144.9,4.99970346689224,65.0,144.9,50.715,2023-10-30,94.185,-4.99970346689224
96898,GRB112P12756,0,94.9,94.9,1.44814608618617,65.0,94.9,33.215,2023-10-30,61.685,-1.44814608618617
90121,GRB112P12771,0,73.9,73.9,1.20877528190613,60.0,73.9,29.56,2023-10-30,44.34,-1.20877528190613
128728,GRB112P12772,0,99.9,99.9,2.83089697360992,65.0,99.9,34.965,2023-10-30,64.935,-2.83089697360992
35367,GRB112P12998,0,73.9000000000001,73.9000000000001,1.18213444203138,60.0,73.9,29.56,2023-10-30,44.3400000000001,-1.18213444203138
32362,GRB112P12999,0,189.9,189.9,2.54960081726313,70.0,189.9,56.97,2023-10-30,132.93,-2.54960081726313
64547,GRB112P13000,0,109.9,109.9,2.63252664357424,65.0,109.9,38.465,2023-10-30,71.435,-2.63252664357424
27739,GRB112P13001,0,62.9000000000001,62.9000000000001,1.34772059321404,60.0,62.9,25.16,2023-10-30,37.740000000000094,-1.34772059321404
117469,GRB112P13177,0,64.9,64.9,5.96256509423256,60.0,64.9,25.96,2023-10-30,38.940000000000005,-5.96256509423256
88032,GRB112P13181,0,74.9,74.9,1.97950983792543,60.0,74.9,29.96,2023-10-30,44.940000000000005,-1.97950983792543
121353,GRB112P13367,0,89.9,89.9,1.29857397079468,65.0,89.9,31.465,2023-10-30,58.435,-1.29857397079468
29704,GRB112P13559,0,29.9,29.9,1.66193793714046,60.0,29.9,11.96,2023-10-30,17.939999999999998,-1.66193793714046
33247,GRB112P13609,0,81.9,81.9,1.24141503870487,60.0,81.9,32.76,2023-10-30,49.14000000000001,-1.24141503870487
108701,GRB112P13610,0,109.9,109.9,1.56655281037092,65.0,109.9,38.465,2023-10-30,71.435,-1.56655281037092
126184,GRB112P13840,16,89.9,89.9,8.31487631797791,60.0,89.9,35.96,2023-10-30,53.940000000000005,7.685123682022089
87464,GRB112P13922,0,84.9000000000001,84.9000000000001,2.08556797355413,60.0,84.9,33.96,2023-10-30,50.940000000000104,-2.08556797355413
83564,GRB112P13946,0,78.9000000000001,78.9000000000001,1.1914730258286,60.0,78.9,31.56,2023-10-30,47.3400000000001,-1.1914730258286
51429,GRB112P13947,0,81.9,81.9,1.80195896327496,65.0,81.9,28.665,2023-10-30,53.23500000000001,-1.80195896327496
72053,GRB112P13948,0,83.9,83.9,2.23769170045853,65.0,83.9,29.365,2023-10-30,54.53500000000001,-2.23769170045853
41845,GRB112P13949,0,81.9,81.9,2.14358516037464,65.0,81.9,28.665,2023-10-30,53.23500000000001,-2.14358516037464
112312,GRB112P13950,0,139.9,139.9,4.0095029771328,65.0,139.9,48.965,2023-10-30,90.935,-4.0095029771328
56628,GRB112P13951,0,164.9,164.9,2.12398101389408,70.0,164.9,49.47,2023-10-30,115.43,-2.12398101389408
15697,GRB112P13952,0,169.9,169.9,3.2290988266468,70.0,169.9,50.97,2023-10-30,118.93,-3.2290988266468
82824,GRB112P13953,0,159.9,159.9,2.40224362909794,65.0,159.9,55.965,2023-10-30,103.935,-2.40224362909794
14188,GRB112P13954,0,109.9,109.9,4.11458086967468,65.0,109.9,38.465,2023-10-30,71.435,-4.11458086967468
16092,GRB112P13955,0,134.9,134.9,5.31904411315918,65.0,134.9,47.215,2023-10-30,87.685,-5.31904411315918
9306,GRB112P13956,0,116.9,116.9,1.6201623827219,70.0,116.9,35.07,2023-10-30,81.83000000000001,-1.6201623827219
67466,GRB112P13957,0,134.9,134.9,1.7045181915164,70.0,134.9,40.47,2023-10-30,94.43,-1.7045181915164
103180,GRB112P13958,0,184.9,184.9,2.06817448884249,70.0,184.9,55.47,2023-10-30,129.43,-2.06817448884249
119695,GRB112P13959,0,159.9,159.9,2.08445483446121,70.0,159.9,47.97,2023-10-30,111.93,-2.08445483446121
87114,GRB112P13960,0,189.9,189.9,3.89743706583977,65.0,189.9,66.465,2023-10-30,123.435,-3.89743706583977
83316,GRB112P13961,0,124.9,124.9,2.49897667765617,70.0,124.9,37.47,2023-10-30,87.43,-2.49897667765617
53283,GRB112P13962,0,114.9,114.9,2.77345710992813,70.0,114.9,34.47,2023-10-30,80.43,-2.77345710992813
124031,GRB112P13963,0,141.9,141.9,2.73374875634909,65.0,141.9,49.665,2023-10-30,92.23500000000001,-2.73374875634909
105652,GRB112P13964,8,59.9000000000001,78.7571428571429,0.936986863613129,65.0,81.9,28.665,2023-10-30,31.2350000000001,7.063013136386871
101128,GRB112P13965,0,96.9,96.9,4.61261543631554,65.0,96.9,33.915,2023-10-30,62.98500000000001,-4.61261543631554
1730,GRB112P13966,0,91.9,91.9,7.01735147833824,65.0,91.9,32.165,2023-10-30,59.73500000000001,-7.01735147833824
40254,GRB112P13967,0,83.9000000000001,83.9000000000001,5.65385687351227,65.0,83.9,29.365,2023-10-30,54.53500000000011,-5.65385687351227
53908,GRB112P13968,0,124.9,124.9,2.86642320454121,65.0,124.9,43.715,2023-10-30,81.185,-2.86642320454121
88934,GRB112P13969,0,96.9,96.9,2.52960696816444,60.0,96.9,38.76,2023-10-30,58.14000000000001,-2.52960696816444
62554,GRB112P13997,0,15.9,15.9,1.21898537874222,55.0,15.9,7.155,2023-10-30,8.745000000000001,-1.21898537874222
115606,GRB112P13998,0,45.9,45.9,1.59394248574972,55.0,45.9,20.655,2023-10-30,25.244999999999997,-1.59394248574972
34737,GRB112P13999,0,29.9,29.9,1.78143898397684,55.0,29.9,13.455,2023-10-30,16.445,-1.78143898397684
16227,GRB112P14000,0,39.9,39.9,2.30522432923317,55.0,39.9,17.955,2023-10-30,21.945,-2.30522432923317
58083,GRB112P14001,0,66.9,66.9,4.59134873747826,55.0,66.9,30.105,2023-10-30,36.795,-4.59134873747826
87398,GRB112P14154,0,159.9,159.9,5.28569550812244,65.0,159.9,55.965,2023-10-30,103.935,-5.28569550812244
116938,GRB112P15454,0,94.9,94.9,2.48384210467339,65.0,94.9,33.215,2023-10-30,61.685,-2.48384210467339
37558,GRB112P15455,0,99.9,99.9,1.79733914881945,65.0,99.9,34.965,2023-10-30,64.935,-1.79733914881945
13644,GRB112P15456,0,109.9,109.9,1.74057897180319,65.0,109.9,38.465,2023-10-30,71.435,-1.74057897180319
21422,GRB112P15457,0,89.9,89.9,1.5941072255373,65.0,89.9,31.465,2023-10-30,58.435,-1.5941072255373
123619,GRB112P15458,0,149.9,149.9,2.26600456982851,65.0,149.9,52.465,2023-10-30,97.435,-2.26600456982851
113825,GRB112P15459,0,279.9,279.9,5.12693277001381,75.0,279.9,69.975,2023-10-30,209.92499999999998,-5.12693277001381
114909,GRB112P15909,8,69.9000000000001,69.9000000000001,1.57496194541454,60.0,69.9,27.96,2023-10-30,41.940000000000104,6.42503805458546
6657,GRB112P15910,8,74.9,74.9,3.49536189436913,65.0,74.9,26.215,2023-10-30,48.685,4.50463810563087
112832,GRB112P15911,0,154.9,154.9,3.27365189790726,75.0,154.9,38.725,2023-10-30,116.17500000000001,-3.27365189790726
67935,GRB112P15912,0,84.9000000000001,84.9000000000001,6.60917554795742,65.0,84.9,29.715,2023-10-30,55.1850000000001,-6.60917554795742
13628,GRB112P15913,0,114.9,114.9,3.32855797559023,70.0,114.9,34.47,2023-10-30,80.43,-3.32855797559023
14689,GRB112P16021,0,89.9,89.9,2.94695845246315,70.0,89.9,26.97,2023-10-30,62.93000000000001,-2.94695845246315
72691,GRB112P16032,0,47.9,47.9,2.57939244061708,65.0,47.9,16.765,2023-10-30,31.134999999999998,-2.57939244061708
80694,GRB112P16033,0,89.9000000000001,89.9000000000001,2.79578150808811,70.0,89.9,26.97,2023-10-30,62.930000000000106,-2.79578150808811
29194,GRB112P16073,0,75.1499999999999,75.1499999999999,3.93705946952105,70.0,84.9,25.47,2023-10-30,49.67999999999991,-3.93705946952105
75807,GRB112P16832,0,109.9,109.9,5.68115259706974,70.0,109.9,32.97,2023-10-30,76.93,-5.68115259706974
12137,GRB112P16833,0,249.9,249.9,7.02207683771849,85.0,249.9,37.485,2023-10-30,212.41500000000002,-7.02207683771849
60146,GRB112P16834,0,299.9,299.9,7.0673899948597,85.0,299.9,44.985,2023-10-30,254.91499999999996,-7.0673899948597
51210,GRB112P16845,0,194.9,194.9,3.05500312149525,80.0,194.9,38.98,2023-10-30,155.92000000000002,-3.05500312149525
66576,GRB112P16846,0,139.9,139.9,4.05801877379417,75.0,139.9,34.975,2023-10-30,104.92500000000001,-4.05801877379417
33486,GRB112P16847,84,85.6142857142857,117.042857142857,4.30742284655571,75.0,124.9,31.225,2023-10-30,54.3892857142857,79.69257715344429
84312,GRB112P16848,210,72.7571428571429,108.471428571429,3.05539044737816,80.0,114.9,22.98,2023-10-30,49.77714285714289,206.94460955262184
53723,GRB112P16849,156,56.3285714285715,76.3285714285715,5.91558539867401,75.0,79.9,19.975,2023-10-30,36.3535714285715,150.084414601326
1922,GRB112P16867,36,139.9,179.9,4.76657570898533,80.0,189.9,37.98,2023-10-30,101.92000000000002,31.23342429101467
